"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32256","Verify special characters and unicode input handling","Mobileqa Android Mobile Automation","2026-08-07","broken","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testSpecialCharactersInput"
"","10696","Verify navigation links are visible","Mobileqa Android Mobile Automation","2026-08-07","failed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testNavigationLinksVisibility"
"","4257","Verify login with invalid email format","Mobileqa Android Mobile Automation","2026-08-07","passed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testInvalidEmailFormat"
"","1706","Verify email field accepts valid email format","Mobileqa Android Mobile Automation","2026-08-07","passed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testValidEmailInput"
"","3982","Verify login with empty credentials shows validation errors","Mobileqa Android Mobile Automation","2026-08-07","failed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testEmptyLogin"
"","242","Verify sign in with code navigation","Mobileqa Android Mobile Automation","2026-08-07","passed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testSignInWithCodeNavigation"
"","75","Verify sign in button state","Mobileqa Android Mobile Automation","2026-08-07","passed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testSignInButtonState"
"","1842","Verify all main UI elements are visible on login screen","Mobileqa Android Mobile Automation","2026-08-07","passed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testMainUIElementsVisibility"
"","97285","Verify form state after multiple error scenarios","Mobileqa Android Mobile Automation","2026-08-07","broken","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testFormStateAfterErrors"
"","4098","Verify numeric password input","Mobileqa Android Mobile Automation","2026-08-07","passed","2026-08-07","com.mobileqa.tests.android.LoginTestAndroid","Android Login Tests","com.mobileqa.tests.android.LoginTestAndroid","testNumericPasswordInput"
