Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.140   694   694 I wpa_supplicant: wlan0: CTRL-EVENT-BEACON-LOSS 
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.183  6688  6726 I appium  : channel read: POST /session/f7ecc00f-7f2f-4de9-800f-52f3212380c3/element
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.185  6688  6726 I appium  : FindElement command
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.190  6688  6726 I appium  : method: 'xpath', selector: '(//android.widget.EditText)[2]'
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.191  6688  6726 I appium  : Waiting up to 10000ms for the device to idle
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.194  6688  6726 I appium  : The following attributes will be included to the page source: []
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.219  6688  6726 I appium  : Took 0ms to retrieve 0 matches for '(//android.widget.EditText)[2]' XPath2 query
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.221  6688  6726 I appium  : AppiumResponse: {"sessionId":"f7ecc00f-7f2f-4de9-800f-52f3212380c3","value":{"error":"no such element","message":"An element could not be located on the page using the given search parameters","stacktrace":"io.appium.uiautomator2.common.exceptions.ElementNotFoundException: An element could not be located on the page using the given search parameters\n\tat io.appium.uiautomator2.utils.ElementLocationHelpers.findElement(ElementLocationHelpers.java:156)\n\tat io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:60)\n\tat io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:59)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:259)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:253)\n\tat io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:77)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)\n\tat io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:102)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)\n\tat io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:435)\n\tat io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:293)\n\tat io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:267)\n\tat io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:250)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)\n\tat io.netty.handler.timeout.IdleStateHandler.channelRead(IdleStateHandler.java:266)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:345)\n\tat io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1294)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:366)\n\tat io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:352)\n\tat io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:911)\n\tat io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:131)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:611)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:552)\n\tat io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:466)\n\tat io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:438)\n\tat io.netty.util.concurrent.SingleThreadEventExecutor$2.run(SingleThreadEventExecutor.java:140)\n\tat io.netty.util.concurrent.DefaultThreadFactory$DefaultRunnableDecorator.run(DefaultThreadFactory.java:144)\n\tat java.lang.Thread.run(Thread.java:923)\n"}}
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.732  6688  6726 I appium  : channel read: POST /session/f7ecc00f-7f2f-4de9-800f-52f3212380c3/element
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.733  6688  6726 I appium  : FindElement command
Thu Aug 06 15:46:45 UTC 2026 [ALL] 08-06 15:46:45.735  6688  6726 I appium  : method: 'xpath', selector: '(//android.widget.EditText)[2]'
