"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11403","Verify login with invalid credentials","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testInvalidCredentials"
"","11406","Verify login with invalid email format","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testInvalidEmailFormat"
"","10071","Verify terms of use link","Mobileqa iOS Mobile Automation","2026-08-06","passed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testTermsOfUseLink"
"","12486","Verify app state after backgrounding","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testAppBackgrounding"
"","12018","Verify footer links are visible","Mobileqa iOS Mobile Automation","2026-08-06","failed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testFooterLinksVisibility"
"","1813","Verify forgot password link functionality","Mobileqa iOS Mobile Automation","2026-08-06","passed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testForgotPasswordLink"
"","11470","Verify change language functionality","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testChangeLanguage"
"","12461","Verify keyboard can be hidden","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testHideKeyboard"
"","12082","Verify special characters in email","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testSpecialCharactersInEmail"
"","12496","Verify app handles network interruption during login","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testNetworkInterruption"
"","2618","Verify keyboard appears when email field is tapped","Mobileqa iOS Mobile Automation","2026-08-06","passed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testEmailFieldKeyboard"
"","3084","Verify password field is secure","Mobileqa iOS Mobile Automation","2026-08-06","passed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testPasswordFieldSecurity"
"","12877","Verify login with empty credentials","Mobileqa iOS Mobile Automation","2026-08-06","failed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testEmptyLogin"
"","11314","Verify email field accepts valid email","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testValidEmailInput"
"","11444","Verify login with empty email","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testEmptyEmailLogin"
"","12656","Verify memory usage with large text input","Mobileqa iOS Mobile Automation","2026-08-06","broken","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testLargeTextInput"
"","752","Verify sign in button is enabled by default","Mobileqa iOS Mobile Automation","2026-08-06","passed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testSignInButtonState"
"","1902","Verify all UI elements are visible on login screen","Mobileqa iOS Mobile Automation","2026-08-06","failed","2026-08-06","com.mobileqa.tests.ios.LoginTestIOS","iOS Login Tests","com.mobileqa.tests.ios.LoginTestIOS","testUIElementsVisibility"
